
		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
   475	 0x1ffff82c       0x00006ec0        28352           1427
   476	 0x1ffff830       0x00006689        26249           1321
   477	 0x1ffff834       0x000062b8        25272           1272
   478	 0x1ffff838       0x00007470        29808           1500
   479	 0x1ffff83c       0x00007bff        31743           1598
   480	 0x1ffff840       0x0000867b        34427           1733
   481	 0x1ffff844       0x000079b0        31152           1568
   482	 0x1ffff848       0x000066b7        26295           1324
   483	 0x1ffff84c       0x00006330        25392           1278
   484	 0x1ffff850       0x000072ee        29422           1481
   485	 0x1ffff854       0x000081e0        33248           1674
   486	 0x1ffff858       0x000069e8        27112           1365
   487	 0x1ffff85c       0x00005941        22849           1150
   488	 0x1ffff860       0x00004e8b        20107           1012
   489	 0x1ffff864       0x00005596        21910           1103
   490	 0x1ffff868       0x00005fcb        24523           1234
   491	 0x1ffff86c       0x00005867        22631           1139
   492	 0x1ffff870       0x00005158        20824           1048
   493	 0x1ffff874       0x000047dc        18396           926
   494	 0x1ffff878       0x00004398        17304           871
   495	 0x1ffff87c       0x00005891        22673           1141
   496	 0x1ffff880       0x000051a8        20904           1052
   497	 0x1ffff884       0x0000455c        17756           894
   498	 0x1ffff888       0x00005362        21346           1074
   499	 0x1ffff88c       0x0000647b        25723           1295
   500	 0x1ffff890       0x00006f84        28548           1437
   501	 0x1ffff894       0x000067cf        26575           1338
   502	 0x1ffff898       0x00005e7c        24188           1217
   503	 0x1ffff89c       0x00005c41        23617           1189
   504	 0x1ffff8a0       0x00006950        26960           1357
   505	 0x1ffff8a4       0x00005a1d        23069           1161
   506	 0x1ffff8a8       0x00004d6c        19820           998
   507	 0x1ffff8ac       0x000057f8        22520           1133
   508	 0x1ffff8b0       0x000051b8        20920           1053
   509	 0x1ffff8b4       0x000044f8        17656           889
   510	 0x1ffff8b8       0x0000536b        21355           1075
   511	 0x1ffff8bc       0x00006754        26452           1331
   512	 0x1ffff8c0       0x00005fc0        24512           1234
   513	 0x1ffff8c4       0x00005880        22656           1140
   514	 0x1ffff8c8       0x00005104        20740           1044
   515	 0x1ffff8cc       0x0000478e        18318           922
   516	 0x1ffff8d0       0x000046f9        18169           914
   517	 0x1ffff8d4       0x0000465c        18012           906
   518	 0x1ffff8d8       0x0000506a        20586           1036
   519	 0x1ffff8dc       0x00004b1c        19228           968
   520	 0x1ffff8e0       0x00005f46        24390           1228
   521	 0x1ffff8e4       0x00005af8        23288           1172
   522	 0x1ffff8e8       0x00006c72        27762           1397
   523	 0x1ffff8ec       0x000075c4        30148           1518
   524	 0x1ffff8f0       0x000079c6        31174           1569
   525	 0x1ffff8f4       0x00006558        25944           1306
   526	 0x1ffff8f8       0x00006cc0        27840           1401
   527	 0x1ffff8fc       0x000074a9        29865           1503
   528	 0x1ffff900       0x00007bb8        31672           1594
   529	 0x1ffff904       0x000086c1        34497           1737
